review,label,movie,lr_predicted_label,mismatch
Fantastic film! Frozen Heart exceeded all my expectations.,Positive,Frozen Heart,Neutral,True
Exceptional screenplay and acting in Endless Night!,Positive,Endless Night,Neutral,True
One of the best films I've seen! Ocean's Mystery was incredible and moving.,Positive,Ocean's Mystery,Neutral,True
Exceptional screenplay and acting in Midnight Rain!,Positive,Midnight Rain,Neutral,True
Exceptional screenplay and acting in Morning Glory!,Positive,Morning Glory,Neutral,True
Outstanding performance! Silent Shadows is definitely worth watching.,Positive,Silent Shadows,Neutral,True
One of the best films I've seen! Silent Shadows was incredible and moving.,Positive,Silent Shadows,Neutral,True
Exceptional screenplay and acting in Thunder Storm!,Positive,Thunder Storm,Neutral,True
One of the best films I've seen! Crystal Palace was incredible and moving.,Positive,Crystal Palace,Neutral,True
Fantastic film! Endless Night exceeded all my expectations.,Positive,Endless Night,Neutral,True
Loved every second of Eternal Fire. Perfect entertainment!,Positive,Eternal Fire,Neutral,True
Amazing! Morning Glory captured my heart completely.,Positive,Morning Glory,Neutral,True
Amazing! Broken Promises captured my heart completely.,Positive,Broken Promises,Neutral,True
Outstanding performance! Crystal Palace is definitely worth watching.,Positive,Crystal Palace,Neutral,True
One of the best films I've seen! Eternal Fire was incredible and moving.,Positive,Eternal Fire,Neutral,True
Loved every second of Ocean's Mystery. Perfect entertainment!,Positive,Ocean's Mystery,Neutral,True
Outstanding performance! Frozen Heart is definitely worth watching.,Positive,Frozen Heart,Neutral,True
Fantastic film! Sunset Boulevard exceeded all my expectations.,Positive,Sunset Boulevard,Neutral,True
Exceptional screenplay and acting in The Cosmic Journey!,Positive,The Cosmic Journey,Neutral,True
Exceptional screenplay and acting in Broken Promises!,Positive,Broken Promises,Neutral,True
Outstanding performance! Starlight Echo is definitely worth watching.,Positive,Starlight Echo,Neutral,True
Exceptional screenplay and acting in Frozen Heart!,Positive,Frozen Heart,Neutral,True
Amazing! Endless Night captured my heart completely.,Positive,Endless Night,Neutral,True
Simply wonderful! Silent Shadows is a must-watch.,Positive,Silent Shadows,Neutral,True
Loved every second of Mountain Peak. Perfect entertainment!,Positive,Mountain Peak,Neutral,True
Amazing! Urban Dreams captured my heart completely.,Positive,Urban Dreams,Neutral,True
Beautiful and engaging - Urban Dreams is a gem!,Positive,Urban Dreams,Neutral,True
Beautiful and engaging - Silent Shadows is a gem!,Positive,Silent Shadows,Neutral,True
Simply wonderful! Crystal Palace is a must-watch.,Positive,Crystal Palace,Neutral,True
Amazing! Starlight Echo captured my heart completely.,Positive,Starlight Echo,Neutral,True
Outstanding performance! Thunder Storm is definitely worth watching.,Positive,Thunder Storm,Neutral,True
One of the best films I've seen! The Cosmic Journey was incredible and moving.,Positive,The Cosmic Journey,Neutral,True
