review,label,hindi,back_translated,bleu_score,quality_flag
"The pacing was absolutely touching. Wow, just wow.",Positive,"गति बिल्कुल मार्मिक थी। वाह, बस वाह.","The pace was absolutely poignant. Wow, just wow.",0.7006,PASS
"Wow, just wow. A must-watch for fans of the genre.",Positive,"वाह, बस वाह. इस शैली के प्रशंसकों के लिए अवश्य देखें।","Wow, just wow. A must-watch for fans of the genre.",1.0,PASS
"It perfectly balances humor and drama. Wow, just wow.",Positive,"यह हास्य और नाटक को पूरी तरह संतुलित करता है। वाह, बस वाह.","It balances comedy and drama perfectly. Wow, just wow.",0.7071,PASS
"The dialogue was absolutely phenomenal. Wow, just wow.",Positive,"संवाद बिल्कुल अद्भुत था. वाह, बस वाह.","The communication was absolutely amazing. Wow, just wow.",0.7006,PASS
"It perfectly balances humor and drama. Wow, simply wow.",Positive,"यह हास्य और नाटक को पूरी तरह संतुलित करता है। वाह, बस वाह।","It balances comedy and drama perfectly. Wow, just wow.",0.5505,PASS
A refreshing take on a tired genre. Don't miss this one.,Positive,एक थकी हुई शैली पर एक ताज़ा प्रस्तुति। इसे मत चूकिए.,A refreshing take on a tired genre. Don't miss it.,0.8121,PASS
This movie is a triumph in every sense. Don't miss this one.,Positive,यह फिल्म हर दृष्टि से एक विजय है। इसे मत चूकिए.,This film is a triumph in every sense. Don't miss it.,0.7172,PASS
I was completely blown away by this film. A definitive 10/10.,Positive,मैं इस फिल्म से पूरी तरह अभिभूत हो गया था। एक निश्चित 10/10.,I was completely enthralled by this film. A definite 10/10.,0.67,PASS
I was completely blown away by this film. Don't miss this one.,Positive,मैं इस फिल्म से पूरी तरह अभिभूत हो गया था। इसे मत चूकिए.,I was completely enthralled by this film. Don't miss it.,0.644,PASS
"Finally, a movie that respects the audience. Two thumbs way up.",Positive,"अंततः, एक ऐसी फिल्म जो दर्शकों का सम्मान करती है। दो अंगूठे ऊपर की ओर.","Ultimately, a film that respects the audience. Two thumbs up.",0.6955,PASS
Standard fare for this type of movie. Good for a one-time watch.,Positive,इस प्रकार की फ़िल्म के लिए मानक किराया. एक बार देखने के लिए अच्छा है।,Standard fare for this type of movie. Nice to see once.,0.5884,PASS
"The lead actor delivered a delightful performance. Wow, just wow.",Positive,"मुख्य अभिनेता ने मनमोहक प्रदर्शन किया। वाह, बस वाह.","The lead actor gave a captivating performance. Wow, just wow.",0.7511,PASS
An absolute joy to watch from start to finish. Two thumbs way up.,Positive,शुरू से अंत तक देखने में परम आनंद आया। दो अंगूठे ऊपर की ओर.,An absolute joy to watch from beginning to end. Two thumbs up.,0.6762,PASS
A refreshing take on a tired genre. Highly recommended for everyone.,Positive,एक थकी हुई शैली पर एक ताज़ा प्रस्तुति। सभी के लिए अत्यधिक अनुशंसित.,A refreshing take on a tired genre. Highly recommended for all.,0.8771,PASS
